iter	Passed	Remaining
0	0	71
1	1	69
2	2	69
3	2	70
4	3	68
5	4	67
6	5	66
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	9	61
13	9	60
14	10	59
15	10	57
16	11	56
17	12	55
18	12	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	18	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	32	36
47	32	35
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	24
65	45	23
66	46	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
